delay,pdf_c9_mapped_timing,pdf_c3_mapped_timing,pdf_c2_mapped_timing,pdf_c7_mapped_timing,pdf_c1_mapped_timing,pdf_c4_mapped_timing,pdf_c5_mapped_timing,pdf_c8_mapped_timing,pdf_c6_mapped_timing
1.72000000E-01,0.00008443,0.02332296,2.90102000,0.00005209,3.06347000,0.00005297,0.00000896,0.00009430,0.00002643
1.73000000E-01,0.00008438,0.02463366,2.91968900,0.00005206,3.03248300,0.00005758,0.00000899,0.00009424,0.00002642
1.74000000E-01,0.00008432,0.02599929,2.93787400,0.00005203,3.00178600,0.00006260,0.00000902,0.00009418,0.00002640
1.75000000E-01,0.00008427,0.02742121,2.95557700,0.00005200,2.97137700,0.00006807,0.00000906,0.00009412,0.00002639
1.76000000E-01,0.00008422,0.02890077,2.97279800,0.00005197,2.94125700,0.00007401,0.00000910,0.00009406,0.00002637
1.77000000E-01,0.00008417,0.03043929,2.98953900,0.00005194,2.91142400,0.00008047,0.00000915,0.00009400,0.00002636
1.78000000E-01,0.00008411,0.03203812,3.00580000,0.00005190,2.88187700,0.00008748,0.00000921,0.00009394,0.00002634
1.79000000E-01,0.00008406,0.03369858,3.02158300,0.00005187,2.85261500,0.00009508,0.00000927,0.00009388,0.00002633
1.80000000E-01,0.00008401,0.03542198,3.03689100,0.00005184,2.82363700,0.00010331,0.00000934,0.00009382,0.00002631
1.81000000E-01,0.00008396,0.03720961,3.05172400,0.00005181,2.79494100,0.00011221,0.00000942,0.00009376,0.00002630
1.82000000E-01,0.00008390,0.03906278,3.06608600,0.00005178,2.76652700,0.00012184,0.00000952,0.00009370,0.00002628
1.83000000E-01,0.00008385,0.04098275,3.07997900,0.00005175,2.73839300,0.00013223,0.00000962,0.00009364,0.00002627
1.84000000E-01,0.00008380,0.04297077,3.09340500,0.00005172,2.71053800,0.00014344,0.00000974,0.00009358,0.00002625
1.85000000E-01,0.00008375,0.04502811,3.10636800,0.00005169,2.68296000,0.00015552,0.00000987,0.00009352,0.00002624
1.86000000E-01,0.00008369,0.04715597,3.11886900,0.00005166,2.65565800,0.00016853,0.00001002,0.00009346,0.00002622
1.87000000E-01,0.00008364,0.04935556,3.13091200,0.00005163,2.62862900,0.00018253,0.00001019,0.00009340,0.00002621
1.88000000E-01,0.00008359,0.05162806,3.14250100,0.00005159,2.60187300,0.00019757,0.00001037,0.00009334,0.00002619
1.89000000E-01,0.00008354,0.05397465,3.15363800,0.00005156,2.57538800,0.00021373,0.00001058,0.00009328,0.00002618
1.90000000E-01,0.00008349,0.05639645,3.16432700,0.00005153,2.54917100,0.00023107,0.00001081,0.00009322,0.00002616
1.91000000E-01,0.00008343,0.05889458,3.17457300,0.00005150,2.52322200,0.00024965,0.00001107,0.00009316,0.00002615
1.92000000E-01,0.00008338,0.06147014,3.18437700,0.00005147,2.49753700,0.00026955,0.00001135,0.00009310,0.00002613
1.93000000E-01,0.00008333,0.06412419,3.19374600,0.00005144,2.47211700,0.00029086,0.00001167,0.00009304,0.00002612
1.94000000E-01,0.00008328,0.06685777,3.20268100,0.00005141,2.44695700,0.00031364,0.00001202,0.00009298,0.00002610
1.95000000E-01,0.00008323,0.06967188,3.21118800,0.00005138,2.42205800,0.00033798,0.00001241,0.00009292,0.00002609
1.96000000E-01,0.00008317,0.07256750,3.21927100,0.00005135,2.39741600,0.00036397,0.00001284,0.00009286,0.00002608
1.97000000E-01,0.00008312,0.07554559,3.22693300,0.00005132,2.37303000,0.00039170,0.00001332,0.00009280,0.00002606
1.98000000E-01,0.00008307,0.07860707,3.23418000,0.00005129,2.34889700,0.00042126,0.00001384,0.00009274,0.00002605
1.99000000E-01,0.00008302,0.08175283,3.24101500,0.00005126,2.32501700,0.00045274,0.00001442,0.00009268,0.00002603
2.00000000E-01,0.00008297,0.08498371,3.24744300,0.00005123,2.30138600,0.00048626,0.00001505,0.00009263,0.00002602
2.01000000E-01,0.00008292,0.08830054,3.25346900,0.00005120,2.27800300,0.00052190,0.00001575,0.00009257,0.00002600
2.02000000E-01,0.00008286,0.09170411,3.25909800,0.00005117,2.25486500,0.00055979,0.00001651,0.00009251,0.00002599
2.03000000E-01,0.00008281,0.09519518,3.26433300,0.00005113,2.23197100,0.00060003,0.00001735,0.00009245,0.00002597
2.04000000E-01,0.00008276,0.09877445,3.26918000,0.00005110,2.20931800,0.00064274,0.00001827,0.00009239,0.00002596
2.05000000E-01,0.00008271,0.10244260,3.27364300,0.00005107,2.18690500,0.00068803,0.00001928,0.00009233,0.00002594
2.06000000E-01,0.00008266,0.10620030,3.27772800,0.00005104,2.16472900,0.00073604,0.00002038,0.00009227,0.00002593
2.07000000E-01,0.00008261,0.11004820,3.28143900,0.00005101,2.14278900,0.00078689,0.00002158,0.00009221,0.00002591
2.08000000E-01,0.00008256,0.11398670,3.28478200,0.00005098,2.12108100,0.00084071,0.00002289,0.00009215,0.00002590
2.09000000E-01,0.00008250,0.11801650,3.28776000,0.00005095,2.09960400,0.00089763,0.00002432,0.00009210,0.00002588
